망나니 검사가 달라졌다,안현,현판,https://novel.naver.com//webnovel/list?novelId=1108690,"
눈 떠보니 망나니더라.

승소율 94% 엘리트 변호사 김한성.
역대급 망나니 검사에 빙의하다.
목표는 오로지 복수.

""너, 딱 기다려.""

앞만 보고 달려주마.
더보기
",243,3300000,9.89,170,402,3
흰 족제비 공주님,이루이,연하남-초월적존재-환생물-걸크러시-소유욕/집착-로판,https://novel.naver.com//webnovel/list?novelId=1117107,"
수년째 이어지던 전쟁의 끝이 보이고, 드디어 마지막 전투였다.
동료 마검사인 에스펜 폭주를 막다 그와 함께 죽음을 맞이한 마리안 공주.
죽었다 생각하고 눈을 떴는데 세상은 온통 하얗기만 하다.
“뀨뀨뀨뀨!”
나, 짐승이 되었어?

*

어쩐 일인지 흰 족제비의 몸에서 다시 눈을 뜨게 된 마리안.
생존을 위해 뭐라도 먹어야 하는데, 곧 죽어도 날생선과 곤충은 비위가 약해 먹을 수 없다.
굶주린 마리안은 인간의 빵 주머니를 털다 전생의 자신과 같은 불의 힘을 가진 하델을 만나게 된다.
“……더 먹어라.”
사람 먹는 음식만 먹을 수 있으면 나는 영혼도 팔 수 있을 거 같아!
그런데.
“살이 잘 찌지 않는군.”
“도대체 언제 크는 거지?”
“족제비는 원래 이렇게 살이 잘 안 붙나?”
하델 너 족제비 확대범이었어?
그런데 그와 접촉할수록 몸속 마나가 늘어난 게 느껴진다.
어떻게 하면 마나를 흡수할 수 있지? 이것저것 시도하다가.
“넌 누구지?”
하델의 입술을 훔치다 인간이 된 모습을 걸려 버렸다!
더보기
",120,510000,9.89,234,462,3
마탄 쏘는 백작가 망나니,준강,판타지,https://novel.naver.com//webnovel/list?novelId=1083226,"
몬스터를 처치하다 동료에게 배신을 당한 특수부대 요원 K

눈떠 보니 이세계의 백작가 망나니, 아더 율리우스가 되다

“이번 생은 평화롭게 살고 싶다.”

그러나 가문을 집어삼키려는 쓰레기들의 음모
“날 건드린다면 모조리 죽여 주겠다.”

아더, 패황의 길을 향해 총을 빼 들다!
더보기
",444,2910000,9.92,206,593,6
기억을 읽는 보험조사관,공대,현판,https://novel.naver.com//webnovel/list?novelId=1031880,"
강력계 경찰 강준, 보험조사관 박강준이 되어버렸다.
회귀 전, 자신을 죽음으로 몰고 간 자들을 쫓으며 강준은 점차 보험조사관으로서 능력을 보여주는데....
전직 경찰의 노련함과 기억을 읽는 능력으로 모든 보험사기를 파헤친다!
더보기
",250,2280000,9.85,296,504,8
내 남편이 달라졌다,서담연,로판,https://novel.naver.com//webnovel/list?novelId=1117112,"
죽은 줄로만 알았던 남편이 장례식장에서 되살아났다.
그것도 과거의 기억이나 예법, 말과 검술까지 모조리 잊은 상태로!
그런 그가 유일하게 반응하고 집착하는 상대는 아내인 아델하이트 뿐이다.
사람이 죽다 살아나면 변한다고 하지만, 이건 변해도 너무 변했다.

“왜… 제게 이렇게 잘 대해주세요?”
“내, 부인.”
“…나중에 분명 저를 이리 안으신 것을 후회하실 터인데.”

얼굴만 봐도 끔찍하다는 듯 찡그리던 사람은 어디로 가고, 그녀를 안아 들기부터 바쁘다.

“이, 이렇게 옷을 잡아당기시면, 대공, 이건 예법에 어긋나서….”
“그럼 가르쳐 주세요.”
“예?”
“예법에 무엇이 어긋나고, 무엇이 어긋나지 않는지. 부인께서 가르쳐 주세요.”

그 순간, 아델하이트는 생각했다.

내 남편이 달라졌다.

그것도 아주 심각하게.
더보기
",165,1180000,9.94,326,690,7
다정한 남주를 흑화시켰다,구름에 숨은 달,서양로판-집착남-회귀물-계약관계-흑화-로판,https://novel.naver.com//webnovel/list?novelId=1125113,"
난 2왕자 체스턴 클리프턴을 죽인 나쁜 년이였다.

언니의 모략에 넘어가 체스턴을 죽게 한 난 얼마 가지 않아 죽음을 맞이했다.

다시 돌아온 삶.
지난 과오를 바로잡고 싶었다.

그저 신뢰를 기반으로 한 계약.
그를 살리기 위한 약혼일 뿐이었는데.

""그렇게 내가 싫었나? 도망칠 정도로?""

우리는 계약 관계일 뿐이라던 그가 달라졌다.

""그런데 말이야, 위트니 양. 짐승에게 뒷모습을 보이지 말라는 소리, 못 들어봤나?""

내 목을 천천히 쓸어 내리며 그가 속삭였다.

""물어뜯고 싶어지잖아.""
더보기
",138,510000,9.75,201,555,6
지니어스 라이프,잔영,현판,https://novel.naver.com//webnovel/list?novelId=876198,"
세상에 우리가 알지 못하고 무심코 지나가는 수많은 일들 가운데 아주 사소한 것이 변한다면.
이 세상은 과연 어떻게 변할 것인가? 
그리고 여기에 한 천재 소년이 있다. 
우리가 사는 역사에서는 한 고아 소년으로 그대로 삶을 살아가다가 평범한 인생을 마주할 그런 소년이 말이다. 
이 소년에게 미국이라는 거대한 기회의 땅이 펼쳐진 순간. 
이 세상의 현재는 어떻게 바뀌어 있을까? 
베이징에서 나비 하나가 펼친 날갯짓이 시간이 지나 텍사스의 토네이도가 될 수 있을까? 
 
이건 나비의 날갯짓이 토네이도가 되는 그 이야기이다.
더보기
",201,1880000,9.93,374,626,8
짝사랑은 끝났으니 알아서들 하세요,스크류뿅뿅,타임슬립-소유욕/집착-후회남-계략남-걸크러시-로판,https://novel.naver.com//webnovel/list?novelId=1117097,"
목숨과 맞바꿔 짝사랑을 잘라 냈다. 이제 그에게 더는 마음을 주지 않아도 된다는 것만으로도 에티엔은 제 억울한 죽음을 받아들였다.

그런데 시간이 되돌아왔다. 이제 겨우 그에게서 벗어났다고 생각했는데 다시 그 시간이 반복되려 하고 있었다.

“다신 그렇게 살지 않아.”

에티엔은 절대로 과거의 자신으로 돌아갈 마음이 없었다. 그런데…….

“함부로 흘리고 다니면 안 돼. 내가 미쳐 버리잖아.”

오랜 짝사랑을 끝냈더니 그의 짝사랑이 나로 바뀌었다. 그것만으로도 기가 찰 일인데 또 다른 이가 나타났다. 이전의 시간에는 없었던 이가.

“나도 있잖아. 나를 봐 줘.”
더보기
",120,530000,9.89,194,449,3
공작가의 남장 하인이 되었다,메이비Y,계약관계-걸크러시-소유욕/집착-로판,https://novel.naver.com//webnovel/list?novelId=1117113,"
흑막 공작에게 몸 정, 맘 정 다 주고 이용 당하다 죽는 하녀에게 빙의 했다.
본래 공작가의 하녀가 된 로젤리아는 공작의 장기 말로 이용되다가 남주인 황태자에게 발각되어 사형 당하는 운명.

그녀는 흑막 공작의 눈에 띄지 않기 위해 남장을 하기로 한다.
어라... 그런데... 왜....!! 
남장을 했는데도 데려가는 거야?!
어쩌다 보니 공작가의 하녀가 아닌 하인이 되어버렸다?


***


“공작님……?”

그의 뜨거운 숨이 이마로 쏟아지는 게 느껴졌다. 
이렇게 붙어 있다가는 천으로 꽁꽁 감싼 가슴을 공작에게 들킬 것만 같아 심장이 미친 듯이 뛰었다.

“내가 말했지, 안토니오. 난 숨겨놓은 건 귀신같이 찾아낸다고.”

마치 천에 둘둘 둘러싸인 그녀의 가슴을 말하는 것 같아 등줄기에 식은땀이 맺혔다.
클라우스의 뜨거운 입술이 그녀의 귓가에 닿을 듯 가까워졌다.

“네가 뭘 숨기고 있는지 알아야겠어.”

그의 숨결이 닿은 귓가와, 그와 얽히듯 접 붙은 허벅지가 데인 듯 뜨거웠다.
로젤리아는 꿰뚫을 듯 바라보는 클라우스의 남색 눈동자를 혼란스럽게 마주 보았다. 
긴장감으로 팽팽하게 당겨진 보이지 않는 실이 그와 그녀 사이에 아슬아슬하게 걸려있는 기분이었다.
로젤리아는 매우 곤란하고도 난감한 상황에 속으로 절규했다.

이봐요, 공작님. 정말 남자여도 상관없는 건가요?
더보기
",200,1490000,9.91,265,657,3
폭군의 시한부 소꿉친구,은해윤,친구에서연인-후회남-소유욕/집착-몸정>맘정-상처녀-로판,https://novel.naver.com//webnovel/list?novelId=1113876,"
그는 내가 봄에 죽었으면 좋겠다고 했다.
그래야 내 무덤에 놓을 수 있는 꽃이 늘어날 테니까.
그는 나의 하나뿐인 소꿉친구였고, 나는 그의 첫사랑이었다.
우리의 비극은 한 가지.
내가 15살에 죽어야 하는 시한부였다는 것이다.

그러나 나는 어째서인지 10년을 더 살아남아,
어느 폭군의 하룻밤 장난감으로 던져졌다.

그런데 왜일까.
폭군의 얼굴이 이토록 익숙한 것은.

“그것들이 이번에는 인형을 잘 찾은 것 같군.”

나를 장식한 봄의 꽃들과,

“내 곁에 있는 동안 너는 로웰이다.”

그가 부르는 나의 이름.

10년 만에 다시 만난 그는, 죽었다고 알려진 나를 잊지 못하고 있었다.
우스운 일이었다.
정작 나는 그를 죽이러 돌아왔는데 말이다.
더보기
",120,370000,10.0,277,576,7
